#PATH-POINTS-START INTAKE_PATH_1
56.573, 4.535, 110.445
55.823, 4.554, 111.124
55.075, 4.599, 111.817
54.328, 4.67, 112.516
53.584, 4.765, 113.213
52.843, 4.882, 113.9
52.106, 5.021, 114.574
51.374, 5.181, 114.904
50.645, 5.361, 115.548
49.922, 5.559, 114.98
49.203, 5.773, 114.149
48.49, 6.004, 113.311
47.782, 6.251, 112.468
47.078, 6.511, 111.617
46.38, 6.786, 110.761
45.688, 7.073, 109.897
45, 7.372, 109.027
44.317, 7.683, 108.15
43.64, 8.005, 107.266
42.967, 8.336, 106.374
42.299, 8.678, 105.475
41.637, 9.029, 104.568
40.978, 9.388, 103.653
40.325, 9.756, 102.73
39.675, 10.131, 101.799
39.03, 10.514, 100.859
38.39, 10.904, 99.91
37.753, 11.301, 98.952
37.121, 11.704, 97.985
36.492, 12.113, 97.008
35.868, 12.528, 96.021
35.247, 12.949, 95.024
34.63, 13.375, 94.016
34.016, 13.806, 92.997
33.406, 14.242, 91.967
32.799, 14.683, 90.926
32.195, 15.128, 89.872
31.595, 15.578, 88.806
30.998, 16.032, 87.727
30.404, 16.489, 86.634
29.813, 16.951, 85.528
29.224, 17.416, 84.407
28.639, 17.884, 83.271
28.056, 18.357, 82.119
27.476, 18.832, 80.951
26.898, 19.31, 79.765
26.323, 19.792, 78.562
25.751, 20.277, 77.34
25.181, 20.764, 76.099
24.613, 21.254, 74.836
24.048, 21.747, 73.553
23.485, 22.242, 72.246
22.924, 22.74, 70.915
22.365, 23.24, 69.559
21.808, 23.743, 68.176
21.253, 24.248, 66.764
20.701, 24.755, 65.322
20.15, 25.264, 63.847
19.601, 25.775, 62.338
19.054, 26.288, 60.791
18.509, 26.803, 59.203
17.965, 27.32, 57.572
17.424, 27.838, 55.893
16.884, 28.359, 54.162
16.345, 28.881, 52.374
15.808, 29.405, 50.522
15.273, 29.93, 48.6
14.739, 30.457, 46.599
14.207, 30.986, 44.508
13.677, 31.516, 42.314
13.147, 32.047, 40
12.588, 32.611, 31.162
endData
#PATH-POINTS-START LOADER_PATH_2
12.588, 32.611, 31.162
12.532, 33.359, 27.939
12.553, 34.108, 24.295
12.68, 34.846, 20
12.953, 35.543, 20
13.393, 36.146, 20
13.98, 36.61, 20
14.66, 36.924, 34.851
15.383, 37.122, 56.146
16.124, 37.233, 67.904
16.872, 37.286, 76.691
17.622, 37.296, 85.067
18.372, 37.276, 86.805
19.12, 37.235, 85.701
19.868, 37.179, 84.582
20.616, 37.115, 83.448
21.362, 37.046, 82.299
22.109, 36.975, 81.133
22.856, 36.907, 79.951
23.603, 36.843, 78.75
24.351, 36.788, 77.531
25.1, 36.743, 76.293
25.849, 36.713, 75.034
26.599, 36.699, 73.754
27.349, 36.706, 72.451
28.098, 36.737, 71.124
28.846, 36.797, 69.772
29.59, 36.89, 68.393
30.328, 37.021, 66.986
31.058, 37.195, 65.549
31.774, 37.417, 64.08
32.471, 37.693, 62.577
33.143, 38.026, 61.036
33.782, 38.417, 59.456
34.381, 38.868, 58.949
34.933, 39.375, 59.578
35.487, 39.875, 86.278
36.103, 40.303, 85.167
36.718, 40.732, 84.041
37.334, 41.16, 82.9
37.95, 41.588, 81.743
38.565, 42.017, 80.569
39.181, 42.445, 79.378
39.797, 42.873, 78.169
40.412, 43.302, 76.941
41.028, 43.73, 75.693
41.644, 44.158, 74.424
42.259, 44.586, 73.133
42.875, 45.015, 71.819
43.491, 45.443, 70.48
44.106, 45.871, 69.115
44.722, 46.3, 67.723
45.338, 46.728, 66.302
45.974, 47.09, 64.885
46.724, 47.082, 63.4
47.474, 47.074, 61.879
48.224, 47.065, 60.32
48.974, 47.057, 58.72
49.723, 47.049, 57.075
50.473, 47.041, 55.381
51.223, 47.032, 53.633
51.973, 47.024, 51.827
52.723, 47.016, 49.955
53.473, 47.008, 48.01
54.223, 46.999, 45.984
54.973, 46.991, 43.863
55.723, 46.983, 41.635
56.473, 46.975, 39.281
57.223, 46.966, 36.776
57.973, 46.958, 34.088
58.723, 46.95, 31.169
59.473, 46.942, 27.946
60.223, 46.933, 24.3
60.973, 46.925, 20
61.302, 46.922, 0
endData
#PATH-POINTS-START LONG_GOAL_PATH_3
61.302, 46.922, 94.723
60.552, 46.921, 93.712
59.802, 46.92, 92.69
59.052, 46.92, 91.657
58.302, 46.919, 90.612
57.552, 46.919, 89.554
56.802, 46.918, 88.484
56.052, 46.918, 87.401
55.302, 46.917, 86.305
54.552, 46.916, 85.194
53.802, 46.916, 84.068
53.052, 46.915, 82.928
52.302, 46.915, 81.771
51.552, 46.914, 80.598
50.802, 46.913, 79.407
50.052, 46.913, 78.198
49.302, 46.912, 76.971
48.552, 46.912, 75.723
47.802, 46.911, 74.455
47.052, 46.91, 73.164
46.302, 46.91, 71.851
45.552, 46.909, 70.512
44.802, 46.909, 69.148
44.052, 46.908, 67.757
43.302, 46.908, 66.336
42.552, 46.907, 64.885
41.802, 46.906, 63.4
41.052, 46.906, 61.879
40.302, 46.905, 60.32
39.552, 46.905, 58.72
38.802, 46.904, 57.075
38.052, 46.903, 55.381
37.302, 46.903, 53.633
36.552, 46.902, 51.827
35.802, 46.902, 49.955
35.052, 46.901, 48.01
34.302, 46.901, 45.984
33.552, 46.9, 43.863
32.802, 46.899, 41.635
32.052, 46.899, 39.281
31.302, 46.898, 36.776
30.552, 46.898, 34.088
29.802, 46.897, 31.169
29.052, 46.896, 27.946
28.302, 46.896, 24.3
27.552, 46.895, 20
26.71, 46.895, 180
endData
